,pitch,enrichment,kinf mean,kinf sd,res_esc mean,res_esc sd,fast_fiss mean,fast_fiss sd,therm_util mean,therm_util sd,eta mean,eta sd,mf_ratio
0,1.001,4.0,0.9573730683020266,0.0050763616798128516,0.1139506810434915,0.0014697936149055553,4.5521079146528045,0.06029277350077001,0.9922876150790758,0.01754452216900434,1.8600052116815007,0.03296191701191205,0.27578729706417743
1,1.0491131341546855,4.0,1.026278735462309,0.005523920467663812,0.17895464223733193,0.002089642059186777,3.1100175801861187,0.03757815854980879,0.9891431730033519,0.015720345977587775,1.8642337222241208,0.029682388370703184,0.4013762949161527
2,1.099541141987558,4.0,1.0875716988785074,0.006093906306420891,0.24294983773143894,0.002170085359830566,2.431260544329268,0.02303232900130605,0.9856363363321987,0.011544565705308187,1.8680697007357994,0.02198108693239015,0.5393347976439019
3,1.1523953993264473,4.0,1.1493229777569591,0.006435525576896398,0.307391027758636,0.002629207646264028,2.0348721723132415,0.018441381563390476,0.9818499563284271,0.010906850834064001,1.871408701858448,0.02086697879882037,0.6908814131218232
4,1.2077926406393285,4.0,1.2077957363052227,0.006642255552106342,0.36864601728332946,0.002808307037564152,1.788493074621868,0.014500502309711881,0.977463912171615,0.009431244993290119,1.8741137661572143,0.018155348979556632,0.8573548179336901
5,1.265855216855296,4.0,1.259858909618905,0.006203059162198687,0.42471173669918727,0.002877878154202212,1.6248475328960106,0.011917571719831984,0.9727141231721382,0.008435562280735321,1.876851068882171,0.01633062921648579,1.0402255883922715
6,1.326711365590109,4.0,1.299591584558755,0.00757132744622848,0.47289227981100723,0.0035064608958044535,1.5122160867318255,0.011928957799405159,0.9672969818046131,0.008808950407879178,1.878758593312667,0.017168221843746397,1.2411091973680195
7,1.3904954943731376,4.0,1.339429029550893,0.007343845632534087,0.5183615329676301,0.0035093892259335105,1.4289945999603835,0.010437813196191687,0.9613880456454102,0.007977811864272653,1.8808650495591228,0.015668114964434328,1.461780291805401
8,1.4573484775012437,4.0,1.3705992218646261,0.007529969200404169,0.5590383013266075,0.003757838870612134,1.3637227038048179,0.009935710376280178,0.9549982082913209,0.007861422525558756,1.8825229940390975,0.0155755523705735,1.7041883771256265
9,1.5274179671752333,4.0,1.4031386987770607,0.006747538644030607,0.5991295175574503,0.003362461782269637,1.3111419264717044,0.007909580550794767,0.9479557683367991,0.0063292095235358,1.8842655471383254,0.012701366950784007,1.9704750471502077
10,1.600858719606058,4.0,1.4265291970904541,0.007336491241380647,0.6334681550305423,0.0037058187924761156,1.2708846510993916,0.007865738871904717,0.9398065560683362,0.006363290058760828,1.8854337312007508,0.012892692639254669,2.262992911840916
11,1.6778329368110079,4.0,1.446672201696846,0.007188274877948761,0.6648234469472861,0.00369333262912722,1.2381128398977248,0.0074005155922202085,0.9315294481626317,0.006015416712064283,1.8867179989189038,0.012340588154541027,2.5843263901589584
12,1.7585106248547917,4.0,1.4583763817832245,0.007901875974431379,0.6922056069339455,0.004179798669831673,1.2107326981915623,0.007909725016577638,0.9219050477869841,0.006498004570594144,1.8875568691271958,0.013420903630470486,2.9373145518323693
13,1.8430699693267159,4.0,1.468084778776212,0.008243715100891493,0.7171212059226366,0.004404937685115085,1.1885272871968426,0.007848596324737424,0.9120616691274492,0.006419943856435159,1.8885357457539624,0.01346603361723302,3.325076209931226
14,1.93169772888325,4.0,1.476816963908571,0.007716595894823253,0.7440383670326502,0.004209234818539356,1.1659820742207396,0.007154451979579509,0.9010108298606051,0.005855807463672212,1.8893371175112212,0.01242396889060582,3.7510374860456785
15,2.024589647725157,4.0,1.480050828992334,0.008201642345150119,0.7670844280812775,0.004491431191141637,1.1484760794736752,0.007249471461756239,0.8887911855980473,0.005854046288759331,1.8902174618664724,0.01269725601196302,4.218962091717557
16,2.1219508879201907,4.0,1.4775847580680428,0.006687470251714414,0.78696469991565,0.0038040730378156988,1.13468467266873,0.005951382676247339,0.8751068378909383,0.004816438624284314,1.8908665741046338,0.010575649772572917,4.732984593785867
17,2.2239964825261946,4.0,1.4710614334536911,0.00752944900364723,0.8046735680913589,0.0042344283234817415,1.1221554437309964,0.006477841955465241,0.8613529762781569,0.005074184172388387,1.89137173524236,0.011496911075231656,5.297646957681892
18,2.330951810515372,4.0,1.460904759294017,0.008416632392589489,0.8205963798191503,0.004872695504471389,1.1124973500989488,0.007249095082630657,0.8458486106895468,0.005639196407101257,1.8919109103839762,0.012916866174432124,5.917938691684165
19,2.443053094548651,4.0,1.4467460494668731,0.007232752659072214,0.8347457572476734,0.0043051370000720185,1.1028162920903501,0.006070431812893722,0.8304559290030235,0.004683792942957996,1.8924234515466907,0.01088628500449283,6.599340946973154
20,2.5605479226995356,4.0,1.4302106381594433,0.0058683555888176,0.849018977643408,0.0035126759943777753,1.0949604568578257,0.0050503080096511955,0.8127963490424248,0.0037725827521158904,1.8927899727599784,0.009132898913724494,7.347874963291782
21,2.6836957952797253,4.0,1.407613051301601,0.006585218693792857,0.86100365573407,0.004099463163853101,1.0883188046892507,0.005645855304686928,0.7934533055605808,0.0041738355689230275,1.8932186868044114,0.010249951473150836,8.170155288429692
22,2.81276869797423,4.0,1.3835067406256172,0.006397792484427692,0.871968622909295,0.004047303575833173,1.0825169365820326,0.005497230301160506,0.7740763952489134,0.003940008683501512,1.8934851256051144,0.01002006980077883,9.073448241946004
23,2.9480517025518105,4.0,1.3588089638747058,0.0069581447322307035,0.882854730454217,0.004360534749327839,1.0760201802576403,0.006195423992470906,0.7553220477641064,0.0042213732745602335,1.8937235348354708,0.011214890042922067,10.06573613990051
24,3.089843596477481,4.0,1.3256121218741848,0.006253106924941646,0.8902742492948776,0.004101325715740351,1.07258682687378,0.005659588607367191,0.7329202425737141,0.0037925419693395465,1.8941025094931943,0.01032011114820102,11.155787848286062
25,3.238457542817644,4.0,1.2944959758032681,0.0069324370024649844,0.9001087578505556,0.004726443303643642,1.0675172406960245,0.006246080919505905,0.7111367454293972,0.004088891950298116,1.89442623676264,0.011415538124219004,12.353236288795944
26,3.394221771895328,4.0,1.2576901084107348,0.0067067596914140845,0.9068136042264805,0.004655105319158648,1.0644483580886868,0.006260323645211592,0.6877840692077279,0.003917914919658593,1.894431514325971,0.01145251269714256,13.668663582013275
