,pitch,dy2o3 conc,kinf mean,kinf sd,res_esc mean,res_esc sd,fast_fiss mean,fast_fiss sd,therm_util mean,therm_util sd,eta mean,eta sd
0,11.38,0.0,1.263843808551241,0.005902211121661997,0.9587763736785846,0.0044970793552445,1.0160325162009711,0.00482543588435067,0.9718809487469454,0.004630853181165961,1.3349205101775026,0.006372422377543559
1,11.38,0.00010204081632653062,1.2326258258451608,0.005099636606798639,0.957935416670828,0.003991300379479195,1.01650731836889,0.004330202477868198,0.9724853503614561,0.004167440596012224,1.3016716767006746,0.005596229033038046
2,11.38,0.00020408163265306123,1.2025365865272557,0.005443582703943117,0.9570581704631963,0.004350570704512496,1.0167145536846425,0.004701420836988559,0.9730521014116201,0.004512368563353399,1.2700617245941337,0.005906815674030504
3,11.38,0.0003061224489795918,1.176131504385446,0.005331650867272002,0.9576241488189875,0.004373502534130487,1.0174725922066064,0.00482825592654126,0.9735436308842628,0.004649433529599958,1.239888565076889,0.005926896647116675
4,11.38,0.00040816326530612246,1.149402326506078,0.005176987019798879,0.957222938540854,0.004336901563872694,1.0176969345811129,0.004730647926122418,0.9741354311010039,0.004546132023645677,1.2112147986693762,0.005673685459080396
5,11.38,0.0005102040816326531,1.123024063482949,0.0059706256262415805,0.9562230372949134,0.005109896087038483,1.018000193816545,0.005610715451798221,0.9745831500896582,0.005384273232345855,1.183758472902769,0.006570706113705243
6,11.38,0.0006122448979591836,1.0996682887080933,0.005027541678839403,0.9565390863218658,0.00439997267066719,1.0184474334478812,0.004758438722011361,0.9751275778734482,0.004575992831018536,1.1576010801951468,0.005446885394906835
7,11.38,0.0007142857142857143,1.076278697400591,0.005173323270559106,0.9559893449121817,0.004626495566207624,1.0190086530433518,0.005021595570370882,0.9755346301071537,0.004833181824439268,1.132533689604667,0.005629653385414777
8,11.38,0.0008163265306122449,1.053489558968084,0.005290332066955843,0.9555778926948678,0.004831574341710418,1.0192393569442735,0.005159188957208327,0.9758682373794189,0.004966220947436825,1.1084006555386858,0.00566290928109896
9,11.38,0.0009183673469387756,1.03256235028761,0.004928721619338788,0.9554679824492646,0.0045947642544487514,1.01970712204039,0.00495060832978965,0.9763560440417234,0.004768355787798652,1.0854666268051993,0.005314854330723569
10,11.38,0.0010204081632653062,1.0128418557271541,0.004948745791795499,0.955975937774176,0.004705461626824896,1.020074508029547,0.005098617040330419,0.9767496674172863,0.0049094859690958035,1.063358024156174,0.005366870976547387
11,11.38,0.0011224489795918367,0.9921484718977494,0.004660707712390488,0.9546901309989319,0.004509664383564865,1.0205529715255859,0.004942290582105713,0.9770973637276964,0.004747148220593129,1.0421754574408288,0.005085321222386551
12,11.38,0.0012244897959183673,0.973611691406144,0.003431884060669978,0.9547891544965964,0.0033844839619442883,1.0208942427429892,0.0036995564348293515,0.9775508288333838,0.003558210103664478,1.0217818882719865,0.003732906175652915
13,11.38,0.001326530612244898,0.9554657033956843,0.004032700506621469,0.954539732355311,0.004065926129138748,1.0214009670815762,0.0044478714530630055,0.9778620797841868,0.004291910532142447,1.0021834402987457,0.004407282142574343
14,11.38,0.0014285714285714286,0.9379302396695404,0.003889569174498067,0.9544143921286423,0.003995983043168259,1.021692659728396,0.004307917622423158,0.9781679772307065,0.00416324833337213,0.9833312569130102,0.004193509929446469
15,11.38,0.0015306122448979593,0.9215227552951534,0.005120442512415123,0.9547526786389222,0.005348124459350112,1.0218888149906333,0.005859220983438131,0.9785992506726221,0.005646188202209923,0.9651763101030156,0.005585023967984397
16,11.38,0.0016326530612244899,0.904225225024364,0.004521913885307867,0.9535387097338995,0.004808790035029975,1.0223383337753662,0.005268587061434504,0.978827625631634,0.0050779060811924105,0.9476270005643577,0.00492797693242579
17,11.38,0.0017346938775510204,0.8888349334025675,0.004497574563776303,0.9534440864600673,0.0048645896627330185,1.0228836123630725,0.005272075239401603,0.9791696823335557,0.005085409093647343,0.93076856358964,0.004840752825674405
18,11.38,0.0018367346938775511,0.8742568059341739,0.004237104569821309,0.9540838484111497,0.0046725458898592915,1.0231788164932554,0.005030807333353979,0.9794384323645494,0.004857592965459426,0.9143738486989722,0.004548367756815415
19,11.38,0.0019387755102040817,0.8591685849651436,0.0037609980644624326,0.9530858325374947,0.00419801110914064,1.0237684241845029,0.004618978267163454,0.9797326312978318,0.00443381017649379,0.8987462087686613,0.004086966314273039
20,11.38,0.0020408163265306124,0.8444712011948028,0.003305051092787945,0.95235172624848,0.0037528508298163917,1.0240224456532352,0.004182254069186927,0.9800348293766116,0.004020471577794806,0.8835608895518132,0.003640876192017918
21,11.38,0.002142857142857143,0.8308499350012367,0.003505916676097609,0.9524915514645425,0.004053487937559413,1.0242362996469925,0.004476780232536147,0.9802635867403251,0.004307277522728869,0.8687972230249824,0.003839605062838688
22,11.38,0.0022448979591836735,0.8180104102001697,0.003564451059841592,0.9524831011549685,0.004176193047104667,1.0248464324247124,0.004638719664368693,0.9805737943103937,0.00445771061106997,0.8545991867159307,0.0038995932147246988
23,11.38,0.002346938775510204,0.8051689920254484,0.0035240695109818487,0.9523831777422934,0.004216540973316102,1.0252157929832943,0.004611629224993132,0.9807286190640129,0.004459443522251858,0.8408357901741422,0.0038294669130269103
24,11.38,0.0024489795918367346,0.7926242484546482,0.004012074918245841,0.9518112144532076,0.00486096011561236,1.0257373047644058,0.005289068171980505,0.9810525088734459,0.005094836939072263,0.8275383587063454,0.004311633623679469
